h1          7.4557664516E-01
h2          1.4464467527E-05
he3         4.1825229750E-05
he4         2.5196293316E-01
li7         1.6614529649E-09
be7         0.0000000000E+00
be9         2.8437224036E-11
be10        0.0000000000E+00
b8          7.1274130351E-10
c12         4.2052971459E-04
c13         4.7108145822E-06
n13         0.0000000000E+00
n14         1.2411035355E-04
n15         4.5628760655E-07
o14         0.0000000000E+00
o15         0.0000000000E+00
o16         1.0283424260E-03
o17         3.8345293281E-07
o18         2.0619872226E-06
f17         0.0000000000E+00
f18         0.0000000000E+00
f19         9.0736718375E-08
ne18        0.0000000000E+00
ne19        0.0000000000E+00
ne20        2.0998956945E-04
ne21        5.0337976755E-07
ne22        1.5440519162E-05
na21        0.0000000000E+00
na22        0.0000000000E+00
na23        5.2553353177E-06
na24        0.0000000000E+00
mg23        0.0000000000E+00
mg24        1.0054133847E-04
mg25        1.2731859033E-05
mg26        1.4007208703E-05
al25        0.0000000000E+00
al26        0.0000000000E+00
al27        1.0003052324E-05
si27        0.0000000000E+00
si28        1.1026028708E-04
si29        5.5987027822E-06
si30        3.6906898934E-06
p30         0.0000000000E+00
p31         1.0472727466E-06
s31         9.4524861513E-09
s32         5.2832725242E-05
s33         4.1702144785E-07
s34         2.3436605369E-06
ca40        1.1533794284E-05
ti48        5.6117981454E-07
fe56        2.3230059487E-04
zn64        3.4376157626E-05
