h1          7.4379487951E-01
h2          1.4429900603E-05
he3         4.1725276569E-05
he4         2.5136079668E-01
li7         1.6574824545E-09
be7         0.0000000000E+00
be9         2.8369265270E-11
be10        0.0000000000E+00
b8          7.1103800717E-10
c12         4.1952474025E-04
c13         4.6995567623E-06
n13         0.0000000000E+00
n14         1.2381375686E-04
n15         4.5519717864E-07
o14         0.0000000000E+00
o15         0.0000000000E+00
o16         2.5769063901E-03
o17         9.6088840440E-07
o18         5.1670999037E-06
f17         0.0000000000E+00
f18         0.0000000000E+00
f19         9.0519877398E-08
ne18        0.0000000000E+00
ne19        0.0000000000E+00
ne20        5.2620941206E-04
ne21        1.2614110892E-06
ne22        3.8692143290E-05
na21        0.0000000000E+00
na22        0.0000000000E+00
na23        5.2427762120E-06
na24        0.0000000000E+00
mg23        0.0000000000E+00
mg24        2.5194488823E-04
mg25        3.1904556373E-05
mg26        3.5100434158E-05
al25        0.0000000000E+00
al26        0.0000000000E+00
al27        9.9791472099E-06
si27        0.0000000000E+00
si28        2.7629944186E-04
si29        1.4029697318E-05
si30        9.2484391677E-06
p30         0.0000000000E+00
p31         1.0447699931E-06
s31         2.3686829747E-08
s32         1.3239265817E-04
s33         1.0450071947E-06
s34         5.8729404343E-06
ca40        2.8902345602E-05
ti48        1.4062512774E-06
fe56        2.3174544709E-04
zn64        5.4202629541E-05
